Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Month_num,Date
1908,Qtr 3,September,17,United States,Wright,Wright Flyer III,virginia,Army U.S. - Military,0,1,2,9,1908-09-17
1909,Qtr 3,September,7,France,Wright,Wright ByplaneSC1,france,Unknown,0,1,1,9,1909-09-07
1912,Qtr 3,July,12,Unknown,Unknown,Dirigible,atlantic,Navy U.S. - JerseyMilitary,0,5,5,7,1912-07-12
1913,Qtr 3,August,6,United Kingdom,Curtiss,Curtiss seaplane,victoria british,Canada          Columbia Private,0,1,1,8,1913-08-06
1913,Qtr 3,September,9,Unknown,Zeppelin,Zeppelin L 1 (airship),over the north seamilitary - german navy,Unknown,0,14,20,9,1913-09-09
1913,Qtr 4,October,17,Unknown,Zeppelin,Zeppelin L 2 (airship),near johannisthal germany,Navy German - Military,0,28,28,10,1913-10-17
1915,Qtr 1,March,5,Unknown,Zeppelin,Zeppelin L 8 (airship),tienen belgium,Navy German - Military,0,17,41,3,1915-03-05
1915,Qtr 3,September,3,Unknown,Zeppelin,Zeppelin L 10 (airship),off cuxhaven germany,Navy German - Military,0,19,19,9,1915-09-03
1916,Qtr 3,July,28,Bulgaria,Schütte-Lanz,Schutte  Lanz S,near jambol bulgeria,Army German - Military,0,20,20,7,1916-07-28
1916,Qtr 3,September,24,Unknown,Zeppelin,Zeppelin L 32 (airship),billericay england,Navy German - Military,0,22,22,9,1916-09-24
1916,Qtr 4,October,1,Unknown,Zeppelin,Zeppelin L 31 (airship),potters bar england,Navy German - Military,0,19,19,10,1916-10-01
1916,Qtr 4,November,21,Unknown,Zeppelin,Super Zeppelin (airship),mainz germany,Army German - Military,0,27,28,11,1916-11-21
1916,Qtr 4,November,28,Unknown,Zeppelin,Zeppelin L 34 (airship),off west hartlepool england,Navy German - Military,0,20,20,11,1916-11-28
1917,Qtr 1,March,4,Unknown,Unknown,Airship,near gent belgium,Army German - Military,0,20,20,3,1917-03-04
1917,Qtr 1,March,30,Unknown,Schütte-Lanz,Schutte  Lanz S,off northern germanymilitary - german navy,Unknown,0,23,23,3,1917-03-30
1917,Qtr 2,May,14,Unknown,Zeppelin,Zeppelin L 22 (airship),near texel island north,Navy German - SeaMilitary,0,21,21,5,1917-05-14
1917,Qtr 2,June,14,Unknown,Zeppelin,Zeppelin L 43 (airship),off vlieland island north,Navy German - SeaMilitary,0,24,24,6,1917-06-14
1917,Qtr 2,June,17,United Kingdom,Zeppelin,Zepplin L 48 (air ship)L,near yarmouth england?,Unknown,0,14,16,6,1917-06-17
1917,Qtr 3,August,21,Unknown,Zeppelin,Zeppelin L 23 (airship),off western denmarkmilitary - german navy,Unknown,0,18,18,8,1917-08-21
1917,Qtr 4,October,20,Unknown,Zeppelin,Zeppelin L 44 (airship),near luneville france,Navy German - Military,0,18,18,10,1917-10-20
1918,Qtr 2,April,7,Unknown,Zeppelin,Zeppelin L 59 (airship),over the mediterraneanmilitary - german navy,Unknown,0,23,23,4,1918-04-07
1918,Qtr 3,August,5,Unknown,Zeppelin,Zeppelin L 70 (airship),off helgoland island germany,Navy German - Military,0,22,22,8,1918-08-05
1918,Qtr 3,August,11,Unknown,Zeppelin,Zeppelin L 53 (airship),ameland island north,Navy German - SeaMilitary,0,19,19,8,1918-08-11
1918,Qtr 4,December,16,Unknown,De Havilland,De Havilland DH 497,elizabeth new,Service Mail Aerial JerseyUS,0,1,1,12,1918-12-16
1919,Qtr 2,May,25,United States,De Havilland,De Havilland DH 461,cleveland ohio,Service Mail Aerial US,0,1,1,5,1919-05-25
1919,Qtr 3,July,19,United States,De Havilland,De Havilland DH 482,dix run pennsylvania,Service Mail Aerial US,0,1,1,7,1919-07-19
1919,Qtr 3,July,21,United States,Fd Type,FD Type Dirigible,chicago illinois,Tire Goodyear Express Air Wingfoot,10,3,0,7,1919-07-21
1919,Qtr 3,August,2,Unknown,Caproni,Caproni Ca.48,verona italy,Company Caproni,0,14,14,8,1919-08-02
1919,Qtr 4,October,2,Unknown,De Havilland,De Havilland DH 4,newcastle england,Travel and Transport Aircraft,0,1,1,10,1919-10-02
1919,Qtr 4,October,14,United States,Curtiss,Curtiss R 4LM32,cantonsville maryland,Service Mail Aerial US,0,1,1,10,1919-10-14
1919,Qtr 4,October,20,United States,De Havilland,De Havilland DH 4G,english channel off forkstone kent,Travel and Transport Aircraft,0,0,0,10,1919-10-20
1919,Qtr 4,October,30,Unknown,De Havilland,De Havilland DH.477,long valley new,Service Mail Aerial JerseyUS,0,1,1,10,1919-10-30
1919,Qtr 4,December,11,United Kingdom,De Havilland,De Havilland DH 4G,catherham surrey,UKAircraft Travel Transport,0,1,1,12,1919-12-11
1920,Qtr 1,March,10,India,De Havilland,De Havilland DH 465,new paris indiana,Service Mail Aerial US,0,1,1,3,1920-03-10
1920,Qtr 1,March,30,Unknown,De Havilland,De Havilland DH 472,newark new,Service Mail Aerial JerseyUS,0,1,1,3,1920-03-30
1920,Qtr 2,April,10,Unknown,Curtiss,Curtiss R 4LM49,newark new,Service Mail Aerial JerseyUS,0,1,2,4,1920-04-10
1920,Qtr 2,April,11,Unknown,Curtiss,Curtiss JN 4H44,heller field new,Service Mail Aerial JerseyUS,0,1,2,4,1920-04-11
1920,Qtr 2,May,12,United States,De Havilland,De Havilland DH 479,oskaloosa iowa,Service Mail Aerial US,0,1,2,5,1920-05-12
1920,Qtr 2,June,6,United States,De Havilland,De Havilland DH 4204,cleveland ohio,Service Mail Aerial US,0,1,1,6,1920-06-06
1920,Qtr 3,July,20,United States,Farman,Farman F 40,cartagena columbia,Aérea Navegación de Colombiana Compañia,0,1,1,7,1920-07-20
1920,Qtr 3,August,16,Unknown,Armstrong Whitworth,Armstrong  Whitworth F,bedford england,Air By,0,1,1,8,1920-08-16
1920,Qtr 3,August,16,United States,De Havilland,De Havilland DH 4317,college park maryland,Service Mail Aerial US,0,1,1,8,1920-08-16
1920,Qtr 3,September,1,Unknown,Junkers,Junkers JL 6305,morristown new,Service Mail Aerial JerseyUS,0,2,2,9,1920-09-01
1920,Qtr 3,September,15,United States,Junkers,Junkers F 13308,pemberville ohio,Service Mail Aerial US,0,2,2,9,1920-09-15
1920,Qtr 3,September,27,United States,De Havilland,De Havilland DH 4316,hillersburg pennsylvania,Service Mail Aerial US,0,1,1,9,1920-09-27
1920,Qtr 4,October,2,Unknown,Salmson,Salmson 2 A,off port vendres france,Airlines Latecoere,0,2,2,10,1920-10-02
1920,Qtr 4,October,5,Spain,Breguet,Breguet 14F ALTA,valencia spain,Airlines Latecoere,0,2,2,10,1920-10-05
1920,Qtr 4,October,15,United States,De Havilland,De Havilland DH 476,batavia illinois,Service Mail Aerial US,0,1,1,10,1920-10-15
1920,Qtr 4,November,7,United States,De Havilland,De Havilland DH 4,tie siding wyoming,Service Mail Aerial US,0,1,1,11,1920-11-07
1920,Qtr 4,December,14,Unknown,Handley Page,Handley Page HP 16G,london england,Transport Page Handley,0,4,8,12,1920-12-14
1920,Qtr 4,December,24,Spain,Breguet,Breguet 14F ALBO,barcelona spain,Aeropostale,0,1,1,12,1920-12-24
1921,Qtr 1,February,3,United States,De Havilland,De Havilland DH 4130,mendotta minnisota,Service Mail Aerial US,0,1,1,2,1921-02-03
1921,Qtr 1,February,9,United States,Junkers,Junkers F 13301,la crosse wisconsin,Service Mail Aerial US,0,3,3,2,1921-02-09
1921,Qtr 1,February,15,Unknown,Breguet,Breguet 14F ALBA,off gibraltaraeropostale,Unknown,0,2,2,2,1921-02-15
1921,Qtr 1,February,22,United States,De Havilland,De Havilland DH 467,elko nevada,Service Mail Aerial US,0,1,1,2,1921-02-22
1921,Qtr 2,April,6,Unknown,Avro,Avro 504H3021,point cook australia,Force Air Australian Royal - Military,0,2,2,4,1921-04-06
1921,Qtr 2,April,21,Unknown,De Havilland,De Havilland DH 4160,mitchel field nyus,Service Mail Aerial,0,1,1,4,1921-04-21
1921,Qtr 2,April,29,United States,De Havilland,De Havilland DH 4196,cleveland ohio,Service Mail Aerial US,0,1,1,4,1921-04-29
1921,Qtr 2,May,17,United States,De Havilland,"De Havilland DH 4
De Havilland DH",rock springs wyoming,Service Mail Aerial US,0,1,1,5,1921-05-17
1921,Qtr 3,August,14,Unknown,Breguet,Breguet 14F ALBI,toulouse france,Aeropostale,0,2,2,8,1921-08-14
1921,Qtr 3,August,24,Unknown,Royal Airship Works,Royal Airship Works ZR 2 (airship)R,river humber england,Works Airship Royal - Military,1,43,49,8,1921-08-24
1921,Qtr 3,September,6,Unknown,Potez,Potez IXF ADCD,paris france,Franco-Roumaine,0,5,5,9,1921-09-06
1921,Qtr 4,December,5,Unknown,Bristol,Bristol 28 TourerG AUDI,near murchinson river australia,Airways Australian West,0,2,2,12,1921-12-05
1922,Qtr 1,January,14,Unknown,Handley Page,Handley Page O/10G EATN,paris france,Transport Page Handley,5,5,5,1,1922-01-14
1922,Qtr 1,February,21,United States,Dirigible Roma,Dirigible Roma (airship),near norfolk virginia,Service Air Army U.S. - Military,0,34,45,2,1922-02-21
1922,Qtr 1,March,22,Unknown,Aeromarine,Aeromarine Model 85 (flying boat),north atlantic oceanaero limited,Unknown,0,5,6,3,1922-03-22
1922,Qtr 2,April,7,Unknown,De Havilland,de Havilland DH 18 / Farman F,grandvilliers france,Aeriens Express Grands / Airways Daimler,0,7,7,4,1922-04-07
1922,Qtr 2,April,8,China,Uknown,,pao ting fou china?,Unknown,0,17,17,4,1922-04-08
1922,Qtr 2,June,3,United States,Blériot,Bleriot Spad 27F ACMH,off folkestone kent,England Cie des Messageries Aeriennes,0,3,3,6,1922-06-03
1922,Qtr 3,July,4,Germany,LVG C,LVG C VI,fuhlsbuttel germany?,Unknown,0,2,3,7,1922-07-04
1922,Qtr 3,July,16,France,Potez,Potez 29F FREI,near saverne lorraine,France Compagnie Franco-Roumaine de Navigaation Aerienne,0,5,5,7,1922-07-16
1922,Qtr 3,July,26,Spain,Breguet,Breguet 14F ALVE,cadix spain,Aeriens Express Grands,0,3,3,7,1922-07-26
1922,Qtr 3,September,7,India,De Havilland,De Havilland DH 4227,indianapolis indiana,Service Mail Aerial US,0,1,1,9,1922-09-07
1922,Qtr 4,October,2,Italy,De Havilland,de Havilland DH 9G,venice italyde,Service Air Havilland,0,4,4,10,1922-10-02
1922,Qtr 4,October,25,Unknown,Breguet,Breguet 14,larache morocco,Aeriens Express Grands,0,2,2,10,1922-10-25
1922,Qtr 4,December,3,Unknown,Breguet,Breguet 14F ALNA,fez morocco,Aeriens Express Grands,0,1,1,12,1922-12-03
1923,Qtr 1,January,10,Unknown,Liore,Lioré  et,ajaccio france,l'Air de Amee,0,3,4,1,1923-01-10
1923,Qtr 1,January,17,Spain,Breguet,Breguet 14F ALJU,barcelona spain,Aeriens Express Grands,0,1,1,1,1923-01-17
1923,Qtr 1,January,18,United States,De Havilland,De Havilland DH 4223,cheyenne wyoming,Service Mail Aerial US,0,1,1,1,1923-01-18
1923,Qtr 1,February,26,United States,De Havilland,De Havilland DH 4291,meadville pennsylvania,Service Mail Aerial US,0,1,1,2,1923-02-26
1923,Qtr 2,May,14,France,Farman,Farman F 60 GoliathF,near amiens picrdie,France Grands Express Aeriens (Air Union),0,6,6,5,1923-05-14
1923,Qtr 3,August,27,Unknown,Blériot,Blériot Spad 46F AEGN,bucharest romania,Roumaine France Campagnie,0,2,2,8,1923-08-27
1923,Qtr 3,August,27,Unknown,Farman,Farman F.60 GoliathF AECB,east mallling united,Union KingdomAir,0,1,11,8,1923-08-27
1923,Qtr 3,September,7,United States,De Havilland,De Havilland DH 4283,colton ohio,Service Mail Aerial US,0,1,1,9,1923-09-07
1923,Qtr 3,September,14,United Kingdom,De Havilland,de Havilland DH 34G,near ivinghoe buckinghamshire,England Daimler Airways,0,5,5,9,1923-09-14
1923,Qtr 4,November,18,Unknown,Junkers,Junkers F 13D,russiacccp,Unknown,0,3,5,11,1923-11-18
1923,Qtr 4,December,6,United States,De Havilland,De Havilland DH 4318,castalia ohio,Service Mail Aerial US,0,1,1,12,1923-12-06
1923,Qtr 4,December,23,Unknown,Zeppelin,Zeppelin Dixmunde (airship)L 72,over the mediterranean seamilitary - french navy,Unknown,0,52,52,12,1923-12-23
1923,Qtr 4,December,24,Unknown,De Havilland,De Havilland DH 4315,egbert wyus,Service Mail Aerial,0,1,1,12,1923-12-24
1924,Qtr 1,March,7,United States,De Havilland,De Havilland DH 4327,grampian pennsylvania,Service Mail Aerial US,0,1,1,3,1924-03-07
1924,Qtr 2,April,24,Unknown,Fokker,Fokker F.IIIH NABS,over the english channelklm royal dutch airlines,Unknown,0,3,3,4,1924-04-24
1924,Qtr 2,June,8,Unknown,Junkers,Junkers F 13A16,barranquilla colombia,SCADTA,0,5,5,6,1924-06-08
1924,Qtr 3,August,1,Unknown,De Havilland,De Havilland DH 4297,united statesus aerial mail service,Unknown,0,1,1,8,1924-08-01
1924,Qtr 4,November,6,Unknown,Breguet,Breguet 14F AFBD,cabrerolles france,Aeriens Express Grands,0,1,1,11,1924-11-06
1924,Qtr 4,December,21,India,De Havilland,De Havilland DH 4311,goshen indiana,Service Mail Aerial US,0,1,1,12,1924-12-21
1924,Qtr 4,December,24,Unknown,De Havilland,de Havilland DH 34BG,purley england,Airways Imperial,0,8,8,12,1924-12-24
1925,Qtr 1,March,22,Unknown,Junkers,Junkers F 13R,near tiflis georgia,USSRZakavia,0,5,5,3,1925-03-22
1925,Qtr 2,April,25,Spain,Breguet,Breguet 14F AFBB,alicante spain,Aeriens Express Grands,0,3,3,4,1925-04-25
1925,Qtr 2,June,25,Unknown,Fokker,Fokker (KLM)  F.IIIH NABM,landrécies france,Airlines Dutch Royal KLM,0,4,4,6,1925-06-25
1925,Qtr 2,June,26,Spain,Liore,Lioré  et,alicante spain,Aeriens Express Grands,0,2,2,6,1925-06-26
1925,Qtr 3,July,20,Spain,Breguet,Breguet 14F AFBI,rosas spain,Latecoere Aeriennes Lignes,0,1,1,7,1925-07-20
1925,Qtr 3,July,24,Unknown,Potez,Potez IX,budapest hungary,CIDNA,0,1,1,7,1925-07-24
1925,Qtr 3,September,3,United States,Dirigible,Dirigible ZR 1 Shenandoah (airship)ZR,caldwell ohio,Navy U.S. - Military,0,14,43,9,1925-09-03
1925,Qtr 3,September,7,Unknown,SPAD,Spad 33,toul france,CIDNA,0,0,0,9,1925-09-07
1925,Qtr 4,October,1,United States,De Havilland,De Havilland DH 4385,mt. nittany ohio,Service Mail Aerial US,0,1,1,10,1925-10-01
1925,Qtr 4,November,14,Unknown,Farman,Farman F 60 GoliathF,off boulogne-sur-mer france,Union Air,0,2,2,11,1925-11-14
1925,Qtr 4,November,14,Unknown,Breguet,Breguet 14F AEGZ,nouadhibou mauritania,Latecoere Aeriennes Lignes,0,1,1,11,1925-11-14
1926,Qtr 1,February,12,United States,Curtiss,Curtiss Carrier Pigeon602,montpelier ohio,Service Mail Aerial US,0,1,1,2,1926-02-12
1926,Qtr 1,March,8,Unknown,Junkers,Junkers F 13D,staaken germany,Lufthansa Deutche,0,1,1,3,1926-03-08
1926,Qtr 2,May,31,Unknown,Breguet,Breguet 14F ADAI,english channelair union,Unknown,0,1,1,5,1926-05-31
1926,Qtr 3,July,3,Unknown,Caudron,Caudron C 61F,rossaugpt czechoslovakia,Aérienne Navigation de Internationale Compagnie,0,6,6,7,1926-07-03
1926,Qtr 3,July,9,Unknown,Fokker,Fokker F7H NACC,wolvertem belgium,Airlines Dutch Royal KLM,0,2,2,7,1926-07-09
1926,Qtr 3,July,24,Unknown,Junkers,Junkers F 13D,juist germany,Lufthansa Deutsche,0,5,5,7,1926-07-24
1926,Qtr 3,August,18,United States,Blériot,Bleriot 155F AIEB,hurst kent,England Air Union,0,3,15,8,1926-08-18
1926,Qtr 3,September,26,Unknown,Sikorsky,Sikorsky S 25,new york new,York,0,2,5,9,1926-09-26
1926,Qtr 4,October,2,United States,Blériot,Bleriot 155F  AICQ,leigh kent,Unied Kingdom Air Union,0,7,7,10,1926-10-02
1926,Qtr 4,October,8,Unknown,Fokker Fg,Fokker FG IIID 468,bueren germany,Lufthansa Deutsche,0,4,4,10,1926-10-08
1926,Qtr 4,October,21,Unknown,Handley Page,Handley Page W 10G,english channelimperial airways,Unknown,0,0,12,10,1926-10-21
1926,Qtr 4,November,11,Unknown,Breguet,Breguet 14F AFAX,cape bojador morocco,Aeriens Express Grands,0,3,3,11,1926-11-11
1926,Qtr 4,December,16,United States,Ryan Aeronautical,Ryan M 12,medford oregon,Transport Air Pacific,0,1,1,12,1926-12-16
1927,Qtr 1,January,12,Unknown,Fokker,Fokker F VIIG,estaires france,Fokker,0,0,0,1,1927-01-12
1927,Qtr 1,March,20,Unknown,Breguet,Breguet 14F ALRA,rabat morocco,Aeriens Express Grands,0,1,1,3,1927-03-20
1927,Qtr 1,March,24,Australia,De Havilland,de Havilland DH 9CG,tambo qld,Australia Qantas,0,3,3,3,1927-03-24
1927,Qtr 2,April,15,United States,Swallow Swallow?,"Swallow
Swallow",king hill idaho,Lines Air Varney,0,1,1,4,1927-04-15
1927,Qtr 2,April,22,Unknown,Fokker Fg,Fokker FG IIID 729,floh germany,Lufthansa Deutsche,0,2,2,4,1927-04-22
1927,Qtr 2,April,22,India,Douglas,Douglas M 4626,goshen indiana,Service Mail Aerial US,0,1,1,4,1927-04-22
1927,Qtr 2,May,2,Unknown,Spca Meteore,SPCA Meteore 63F AIFN,algiers algeria,Union Air,0,1,3,5,1927-05-02
1927,Qtr 3,July,27,Unknown,Junkers,Junkers F 13D,amoneburg germany,Lufthansa Deutsche,0,5,5,7,1927-07-27
1927,Qtr 3,August,22,Unknown,Fokker,Fokker F VIIIH,sevenoaks england,Airlines Dutch Royal KLM,0,1,11,8,1927-08-22
1927,Qtr 3,September,3,United States,Fokker Universalnc52,"Fokker UniversalNC52  	
NC52",willington connecticut,Transport Air Colonial,0,1,1,9,1927-09-03
1927,Qtr 3,September,17,Unknown,Fokker,Fokker F7NX703,atlantic oceanprivate,Unknown,0,3,3,9,1927-09-17
1927,Qtr 3,September,17,Unknown,Fokker,Fokker F VIINC776,hadley new,Airways JerseyReynolds,0,7,12,9,1927-09-17
1927,Qtr 3,September,23,Unknown,Dornier,Dornier MerkurD 585,schleiz germany,Lufthansa Deutsche,0,6,6,9,1927-09-23
1927,Qtr 4,October,6,Unknown,Breguet,Breguet 14F AGBN,thies mauritania,Latecoere Aeriennes Lignes,0,2,2,10,1927-10-06
1927,Qtr 4,October,30,Unknown,Fairchild,Fairchild FC 2,new brunswick new,Transport Air JerseyColonial,0,4,4,10,1927-10-30
1927,Qtr 4,November,8,Unknown,Farman,Farman F 121 JabiruF,strasburg france,CIDNA,0,1,1,11,1927-11-08
1927,Qtr 4,November,16,Unknown,Junkers,Junkers F 13K,over the gulf of finlandaero o-y,Unknown,0,6,6,11,1927-11-16
1927,Qtr 4,November,29,India,Douglas,"Douglas M 4NC62  	
NC1062",corunna indiana,Transport Air National,0,1,1,11,1927-11-29
1927,Qtr 4,December,28,Spain,Breguet,Breguet 14F AFGS,almeria spain,Aeropostale,0,1,1,12,1927-12-28
1927,Qtr 4,December,31,Unknown,Latécoère,Latécoère 23 (flying boat)F AIHP,near marseille airlines,Unknown,0,5,5,12,1927-12-31
1928,Qtr 1,January,8,Unknown,Fairchild,Fairchild FC 2NC3780,near canajoharie new,Airlines Western YorkColonial,0,3,3,1,1928-01-08
1928,Qtr 1,January,16,Unknown,Latécoère,Latecoere 25F AIKG,solis uruguay,Aeropostale,0,2,2,1,1928-01-16
1928,Qtr 1,January,22,France,Breguet,"Breguet 14
 F AHEQ",l'hospitalet ariège,Aeropostale,0,1,1,1,1928-01-22
1928,Qtr 1,January,22,Spain,Breguet,Breguet 14F AHEQ,tarragona spain,Aeropostale,0,2,2,1,1928-01-22
1928,Qtr 1,January,27,Spain,Breguet,Breguet 14F AFHN,almeria spain,Aeropostale,0,1,1,1,1928-01-27
1928,Qtr 1,February,26,United States,Boeing,Boeing 40NC280,marquette nebraska,Transport Air Boeing,0,1,2,2,1928-02-26
1928,Qtr 1,March,11,Unknown,Farman,Farman F 60 GoliathF,off cape griz nez france,Union Air,0,2,2,3,1928-03-11
1928,Qtr 2,April,17,United States,Boeing,"Boeing 40NC282
NC282",federal wyoming,Transport Air Boeing,0,1,2,4,1928-04-17
1928,Qtr 2,April,19,Spain,Rohrbach,Rohrbach RolandM CCCC,minuesa spain,Airlines Iberia,0,9,9,4,1928-04-19
1928,Qtr 2,May,7,Brazil,Latécoère,Latecoere 26F AIMQ,"florianopolis brazil
florianopolis",BrazilFlorianopolis,0,1,5,5,1928-05-07
1928,Qtr 2,May,12,United States,Ford,Ford 4NC1492,dearborn minnesota,Inc. Freight Air Ford,0,2,2,5,1928-05-12
1928,Qtr 2,May,26,Unknown,Junkers,Junkers F 13D,radevormwald germany,Lufthansa Deutsche,0,3,5,5,1928-05-26
1928,Qtr 2,June,14,Unknown,Unknown,AEGKD  74,frankfurt germany,Lufthansa Deutsche,0,5,5,6,1928-06-14
1928,Qtr 2,June,22,United States,Douglas,Douglas M 4NC1059,lebo kansas,Transport Air National,0,1,1,6,1928-06-22
1928,Qtr 3,July,10,Unknown,Junkers,Junkers F 13K,over the gulf of finlandaero o-y,Unknown,0,6,6,7,1928-07-10
1928,Qtr 3,July,13,Unknown,Vickers Viscount,Vickers 74 VulcanG EBLB,purley england,Airways Imperial,0,4,6,7,1928-07-13
1928,Qtr 3,July,24,Unknown,Fokker,Fokker (KLM) F.IIIH NABR,waalhaven netherlands,Airlines Dutch Royal KLM,0,1,6,7,1928-07-24
1928,Qtr 3,August,25,Unknown,Ford,Ford 4 AT,near port townsend bc,Canada British Columbia Airways,0,7,7,8,1928-08-25
1928,Qtr 3,September,2,Unknown,Blériot,Bleriot Spad 33F AIEP,toul france,CIDNA,0,5,5,9,1928-09-02
1928,Qtr 3,September,4,Unknown,De Havilland,de Havilland DH.50JG AUHI,adelaide hills australia,Qantas,0,1,2,9,1928-09-04
1928,Qtr 3,September,4,United States,Fokker,Fokker Super UniversalNC7242,pocatello idaho,Airways Parks National,0,7,7,9,1928-09-04
1928,Qtr 3,September,6,Unknown,Fokker Fg,Fokker FG IIID 180,heroldbach germany,Lufthansa Deutsche,0,3,3,9,1928-09-06
1928,Qtr 4,October,4,Spain,Breguet,"Breguet 14F AEEJ
F",gerona spain,Aeropostale,0,3,3,10,1928-10-04
1928,Qtr 4,October,18,United States,Douglas,Douglas M 4NC1064,polk pennsylvania,Transport Air National,0,1,1,10,1928-10-18
1928,Qtr 4,October,31,Unknown,Blériot,Bleriot Spad 56F AIMN,valence france,Union Air,0,1,2,10,1928-10-31
1928,Qtr 4,November,15,Unknown,Latécoère,Latecoere 32F AISN,off gibraltaraeropostale,Unknown,0,1,3,11,1928-11-15
1928,Qtr 4,November,24,United States,Hamilton,Hamilton H 47NC7521,edgerton ohio,Airlines Universal,0,3,3,11,1928-11-24
1928,Qtr 4,November,25,United States,Douglas,Douglas M 4NC792,bristolville ohio,Transport Air National,0,1,1,11,1928-11-25
1928,Qtr 4,November,25,United States,Travel Air,Travel Air 4000NC5436,edgerton ohio,Lines Air Continental,0,1,1,11,1928-11-25
1928,Qtr 4,December,1,United States,Ford,Ford 4 AT,spur texas,Co. Transport Air Sunbeam,0,5,5,12,1928-12-01
1928,Qtr 4,December,3,Unknown,Dornier,Dornier WalP BACA,near rio de janeiro condor,Unknown,0,14,14,12,1928-12-03
1928,Qtr 4,December,10,United States,Ford,Ford Tri motor 4NC7687,spokan washington,Airways Spokane,0,5,5,12,1928-12-10
1928,Qtr 4,December,11,Unknown,Junkers,Junkers G 31D,letzlingen germany,Lufthansa Deutsche,0,3,4,12,1928-12-11
1928,Qtr 4,December,20,United States,Douglas,Douglas M 4NC790,huron ohio,Transport Air National,0,1,1,12,1928-12-20
1928,Qtr 4,December,23,United States,Fairchild,Fairchild FC 2,chattanooga tennessee,Airlines Interstate,0,4,4,12,1928-12-23
1928,Qtr 4,December,31,Unknown,Blériot,Blériot Spad 66F AEHX,reims france,CIDNA,0,2,3,12,1928-12-31
1929,Qtr 1,January,5,United States,Fairchild,Fairchild FC 2NC5650,stafford springs connecticut,Transport Air Colonial,0,1,1,1,1929-01-05
1929,Qtr 1,January,18,United States,Boeing-Stearman,Stearman C 38NC1682,cove oregon,Lines Air Varney,0,1,1,1,1929-01-18
1929,Qtr 1,January,25,Unknown,Cmasa,CMASA WalI AZDA,near corfu greece,Aeroespresso,0,2,9,1,1929-01-25
1929,Qtr 1,January,31,Unknown,Latécoère,"Latecoere 26F AIMU
F",off moroccoaeropostale,Unknown,0,2,2,1,1929-01-31
1929,Qtr 1,January,31,Unknown,Travel Air,Travel Air 4000NC6480,morgantown west,Company Transportation VirginiaSkyline,0,1,1,1,1929-01-31
1929,Qtr 1,March,17,Unknown,Ford,Ford 5 AT,newark new,Airlines Western JerseyColonial,0,14,15,3,1929-03-17
1929,Qtr 1,March,30,United States,Fokker,Fokker F VIIANC7888,near beaumont california,Airlines Standard New,0,4,4,3,1929-03-30
1929,Qtr 2,April,21,United States,Ford,Ford 5 AT,san diego california,Force Air U.S.Army - Military / Airlines Maddux,0,6,6,4,1929-04-21
1929,Qtr 2,May,9,Unknown,Ford,Ford Tri motor 4M,tampico mexico,Mexicana,0,5,5,5,1929-05-09
1929,Qtr 2,May,18,Unknown,Fokker,Fokker F IIIH,tököl,HungaryMALERT Pest,0,2,2,5,1929-05-18
1929,Qtr 2,May,22,Unknown,Cams,Cams 53F AISX,algiersaeropostale,Unknown,0,4,6,5,1929-05-22
1929,Qtr 2,June,13,Unknown,Fokker,Fokker F XNC9700,santiago de cuba cuba,Airways American Pan,0,2,5,6,1929-06-13
1929,Qtr 2,June,14,Spain,Breguet,Breguet 14F AFEJ,barcelona spain,Aeropostale,0,1,2,6,1929-06-14
1929,Qtr 2,June,17,Unknown,Handley Page,Handley Page W 10G,off dungeness england,Airways Imperial,0,7,13,6,1929-06-17
1929,Qtr 2,June,24,United States,Ford,Ford 5 AT,st. paul minnesota,Airlines Orient Northwest,0,1,8,6,1929-06-24
1929,Qtr 2,June,29,Germany,Dornier,Domier Delphin III (flying boat)D 1620,near lindau bavaria,Germany Bodensee Aerolloyd,0,5,5,6,1929-06-29
1929,Qtr 2,June,29,United States,Travel Air,Travel Air 4000NC5435,columbus ohio,Lines Air Continental,0,1,1,6,1929-06-29
1929,Qtr 3,August,11,Unknown,Lockheed,Lockheed 5 VegaNC870E,clovis new,Airlines States MexicoMiddle,0,4,4,8,1929-08-11
1929,Qtr 3,August,24,Unknown,Fokker Fg,Fokker FG IID 757,elm germany,Lufthansa Deutsche,0,4,5,8,1929-08-24
1929,Qtr 3,August,24,Unknown,Kalinin,Kalinin K 4CCCP,sochi russia,Ukvozduchput,0,1,1,8,1929-08-24
1929,Qtr 3,September,2,United States,Lockheed,Lockheed VegaNR859E,needles california,Aviators Associated,0,1,2,9,1929-09-02
1929,Qtr 3,September,3,Unknown,Ford,Ford 5 AT,mt. taylor near,New Mexico          Grants Trans Continental Air Transport,0,8,8,9,1929-09-03
1929,Qtr 3,September,6,Unknown,De Havilland,de Havilland DH 66 HerculesG,jask iran,Airways Imperial,0,3,5,9,1929-09-06
1929,Qtr 3,September,14,Unknown,Latécoère,Latecoere 25F AIUJ,north atlantic oceanaeropostale,Unknown,0,6,6,9,1929-09-14
1929,Qtr 3,September,14,Canada,Travel Air,Travel Air 6000CF ABE,saint catharines ontario,Skyways,0,6,6,9,1929-09-14
1929,Qtr 3,September,17,United States,Fairchild,Fairchild 71,jacumba california,Airways Pickwick,0,1,2,9,1929-09-17
