Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Month_num,Date
2004,Qtr 4,November,18,Unknown,Bae 3101 Jetstream,BAe 3101 Jetstream 31YV 1083C,caracas venezuela,Venezolana,0,3,21,11,2004-11-18
2004,Qtr 4,November,21,Unknown,Bombardier,Bombardier CRJ200B 3072,baotou inner,China          Mongolia China Eastern Airlines,0,53,53,11,2004-11-21
2004,Qtr 4,November,22,United States,Grumman,Grumman Gulfstream G3N85VT,houston texas,Services Jet Business,0,3,3,11,2004-11-22
2004,Qtr 4,November,27,Unknown,Casa,CASA 212 CCN960BW,near bagram afghanstan,Taxi Air - Inc. Airways Presidental,0,6,6,11,2004-11-27
2004,Qtr 4,November,28,United States,Canadair,Canadair CL 601,montrose colorado,Charter - Castle Air/Air Glow,0,3,6,11,2004-11-28
2004,Qtr 4,November,30,Unknown,McDonnell,McDonnell  Douglas MD,solo indonesia,Air Lion,0,25,163,11,2004-11-30
2004,Qtr 4,December,10,Unknown,PZL,PZL  Mielec M28GN,el junquito venezuela,Venezuela de Nacional Guardia,0,16,16,12,2004-12-10
2004,Qtr 4,December,11,Brazil,Embraer,Embraer EMB 110 BandeirantePT,uberaba brazil,Táxi-Aéreo NHR,1,2,2,12,2004-12-11
2004,Qtr 4,December,11,Unknown,Ilyushin,Ilyushin II 76TDER,near jeddah saudi,Transport ArabiaAirline,0,1,7,12,2004-12-11
2005,Qtr 1,January,13,Unknown,Sikorsky,Black Hawk helicopter,manguipayan colombia,government Colombian - Military,0,20,20,1,2005-01-13
2005,Qtr 1,January,13,Unknown,Antonov,Antonov AN 2RA,tura,Russia Tura Air Enterprise,0,9,9,1,2005-01-13
2005,Qtr 1,January,13,Unknown,Embraer,Embraer EMB 110 BandeiranteN49BA,keene new,HampshireAirNow,0,1,1,1,2005-01-13
2005,Qtr 1,January,26,Unknown,Ch53E Sea,CH53E Sea Stallion164536,rutbah iraq,Marines U.S. - Military,0,31,31,1,2005-01-26
2005,Qtr 1,January,27,Unknown,LET,Let 410UVP E4HA,lasi hungary,Hungary Farnair,0,2,2,1,2005-01-27
2005,Qtr 1,January,30,Unknown,Lockheed,Lockheed Hercules C.1XV179,near al taji iraq,Force Air Royal - Military,0,10,10,1,2005-01-30
2005,Qtr 1,February,3,Unknown,Boeing,Boeing B 737,near kabul afghanistan,Air Kam,0,104,104,2,2005-02-03
2005,Qtr 1,February,3,Unknown,Ilyushin,Ilyushin 76TDST EWB,near khartoum sudan,West Air,0,7,7,2,2005-02-03
2005,Qtr 1,February,16,United States,Cessna,Cessna 560 Citation VN500AT,near pueblo colorado,Charter - Stores City Circuit,0,8,8,2,2005-02-16
2005,Qtr 1,February,22,Unknown,CASA,"CASA 212 AviocarP 2032
P","off sarmi indonesia
	
sarmi",Indonesia Indonesian National Police,0,15,18,2,2005-02-22
2005,Qtr 1,February,22,Unknown,De Havilland,de Havilland DHC 6 Twin Otter 300P2,bimin papua,New Guinea Missionary Aviation Fellowship,0,2,13,2,2005-02-22
2005,Qtr 1,March,8,Unknown,Cessna,Cessna 500 Citation IYV 21CP,chrallave venezuela,Global Air,0,2,2,3,2005-03-08
2005,Qtr 1,March,15,Unknown,Pilatus,Pilatus  Britten Norman BN,off campbeltown united,KingdomLoganair,0,2,2,3,2005-03-15
2005,Qtr 1,March,16,Unknown,Antonov,Antonov 24RA 46489,varandey russia,Airlines Regional,0,28,52,3,2005-03-16
2005,Qtr 1,March,23,Unknown,Ilyushin,Ilyushin IL 76TDER,off mwanza tanzania,Transport Air,0,8,8,3,2005-03-23
2005,Qtr 1,March,26,Unknown,LET,Let  410UVP,el embrujo providencia,Colombia          Island West Caribbean Airways,0,8,14,3,2005-03-26
2005,Qtr 1,March,31,Unknown,Lockheed,Lockheed Hercules MC 130H87,near rovie albania,Force Air U.S. - Military,0,9,9,3,2005-03-31
2005,Qtr 2,April,12,Unknown,De Havilland,de Havilland Canada DHC 6 Twin Otter 100PK,enarotali indonesia,Air GT,0,18,18,4,2005-04-12
2005,Qtr 2,April,20,Unknown,Boeing,Boeing B 707,tehran iran,Services Airline Saha,0,3,169,4,2005-04-20
2005,Qtr 2,April,21,Unknown,Mil,Mil Mi 8,near baghdad iraq,Bulgarian - Military,0,11,11,4,2005-04-21
2005,Qtr 2,April,28,Unknown,LET,Let 410UVPEP 830,pisco peru,Peru Del Fuerza - Military,0,13,13,4,2005-04-28
2005,Qtr 2,May,2,Unknown,Swearingen Sa.227Ac Metro,Swearingen SA.227AC Metro IIIZK POA,near stratford new,NZ ZealandAirwork,0,2,2,5,2005-05-02
2005,Qtr 2,May,5,Unknown,Antonov,Antonov AN 26EK,near kisangani democratic,Airlift CongoKisangani Republic,0,10,11,5,2005-05-05
2005,Qtr 2,May,7,Unknown,Swearingen,Swearingen SA 227AC Metro IIIVH,lockhart river queensland,Australia Aero-Tropics,0,15,15,5,2005-05-07
2005,Qtr 2,May,16,Unknown,Beech,Beech 65 A80 QueenaireCC,el portezulo argentina,Charter - Carlos Don Aereos Transportes,0,10,10,5,2005-05-16
2005,Qtr 2,May,18,Unknown,Xian Yunshuji,Yunshuji Y 12AF,mongu zambia,Force Air Zambia - Military,0,13,13,5,2005-05-18
2005,Qtr 2,May,25,Unknown,Antonov,Antonov AN 12BP9Q,walungu congo,Air) Victoria (owner Union Maniema - Charter,0,27,27,5,2005-05-25
2005,Qtr 2,June,2,Unknown,Antonov,Antonov AN 24BST,khartoom sudan,Aviation Marsland,0,7,42,6,2005-06-02
2005,Qtr 3,July,16,Unknown,Antonov,Antonov AN 24B3C,baney equatorial,GuineaEcuatair,0,60,60,7,2005-07-16
2005,Qtr 3,August,2,Unknown,Airbus,Airbus A 340F,toronto canada,France Air,0,0,309,8,2005-08-02
2005,Qtr 3,August,6,Unknown,ATR,ATR  72,off palermo italy,Tuninter,0,16,39,8,2005-08-06
2005,Qtr 3,August,10,Unknown,Sikorsky,Sikorsky S 76COH,off talinn estonia,Copterline,0,14,14,8,2005-08-10
2005,Qtr 3,August,14,Unknown,Boeing,Boeing 737 31S5B,near grammatikos greece,Airways Helios,0,121,121,8,2005-08-14
2005,Qtr 3,August,16,Unknown,McDonnell Douglas,McDonnell Douglas MD 82HK,near la cucharita venezuela,Airways Caribbean West,0,160,160,8,2005-08-16
2005,Qtr 3,August,23,Unknown,Boeing,Boeing B 737,near pucallpa peru,Peru TANS,0,40,98,8,2005-08-23
2005,Qtr 3,September,5,Unknown,Antonov,Antonov 26BER AZT,isiro democtratic,Airlines CongoKavatshi Republic,0,11,11,9,2005-09-05
2005,Qtr 3,September,5,Unknown,Boeing,Boeing 737 230PK,medan indonesia,Airlines Mandala,44,99,117,9,2005-09-05
